brand,description,image_urls,images,imgname,material,name,origin,price
Paloma Wool,"Psychedelic jacket with warped checkerboard pattern from Paloma Wool. Spread collar. Front horn button closure. Buttoned cuffs. On-seam side pockets. Boxy, tapered cut with pleating at hem. Unlined. 

• Light Twill
• 100% cotton
• Machine wash
• Made in Spain","https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw31709122/products/W107762/W107762_191004_NS_OF_1.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw7ddf8cf4/products/W107762/W107762_191004_NS_OF_2.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw5fed487f/products/W107762/W107762_191004_NS_OF_3.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw2bd470db/products/W107762/W107762_191004_NS_OF_4.jpg?sw=600&q=70","[{'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw31709122/products/W107762/W107762_191004_NS_OF_1.jpg?sw=600&q=70', 'path': 'full/6edff24185c76c16b3eb2bad5e476f75ff9659b8.jpg', 'checksum': 'b91f2cafbfbe839454058675f8d77ede'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw7ddf8cf4/products/W107762/W107762_191004_NS_OF_2.jpg?sw=600&q=70', 'path': 'full/009f88f04562b09ac9ac961264e5cd49d89f9c3b.jpg', 'checksum': 'a932ff4551edf431e8704f6f761e7954'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw5fed487f/products/W107762/W107762_191004_NS_OF_3.jpg?sw=600&q=70', 'path': 'full/beaf0fc01eaf5af12ddb6b575ee84723eecf15b3.jpg', 'checksum': 'b484747623fe9aeb05c8335671998577'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw2bd470db/products/W107762/W107762_191004_NS_OF_4.jpg?sw=600&q=70', 'path': 'full/1c079d9b72424dfd7dbed95fb0e5cbe7f6b8d23d.jpg', 'checksum': '7ba4066fa4c476ffae0c3ad71a4d8271'}]",,,Finale Optical Jacket,,$219.00
Paloma Wool,"Psychedelic slim pant with warped checkerboard pattern from Paloma Wool. High rise. Zip fly with horn button top closure. Belt loops at waist. Five pockets. Slim straight leg. 

• Light Twill
• 100% cotton
• Machine wash
• Made in Spain","https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw80db3f6a/products/W107763/W107763_191023_NS_OF_1.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwcee9357c/products/W107763/W107763_191023_NS_OF_2.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw89ff0f4d/products/W107763/W107763_191023_NS_OF_3.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw791699a7/products/W107763/W107763_191023_NS_OF_4.jpg?sw=600&q=70","[{'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw80db3f6a/products/W107763/W107763_191023_NS_OF_1.jpg?sw=600&q=70', 'path': 'full/ea661a0a914dfbeb4e9ff51207fdedba456d2be1.jpg', 'checksum': 'f947f948728099f7870d5735488d7190'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwcee9357c/products/W107763/W107763_191023_NS_OF_2.jpg?sw=600&q=70', 'path': 'full/26fb2b4ccbe0a612c9f0fd3ec81b1a5f9ff6ff76.jpg', 'checksum': '24dbcca6d38c934e06081c5e7bcfb331'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw89ff0f4d/products/W107763/W107763_191023_NS_OF_3.jpg?sw=600&q=70', 'path': 'full/c9886eae947d3278d643a5d6d2ca67e483503f2c.jpg', 'checksum': '73aa4fa27364942c4f456c1e7ce6f7fc'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw791699a7/products/W107763/W107763_191023_NS_OF_4.jpg?sw=600&q=70', 'path': 'full/af726f25fd11109132ccc2a711872066890bff2d.jpg', 'checksum': 'b8597fe6bb038fe479ca542cdd66337c'}]",,,Realmonte Optical Pant,,$189.00
Paloma Wool,"Psychedelic knit top with warped checkerboard pattern from Paloma Wool. Silky fabric. Standup neckline with stitched edge. Dropped shoulders. Long sleeves. Straight hem.

• Viscose Knit
• 100% viscose
• Hand wash
• Made in Spain","https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw8c36a03c/products/W107779/W107779_191024_NS_OF_1.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw257cdf88/products/W107779/W107779_191024_NS_OF_2.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwfb903301/products/W107779/W107779_191024_NS_OF_3.jpg?sw=600&q=70","[{'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw8c36a03c/products/W107779/W107779_191024_NS_OF_1.jpg?sw=600&q=70', 'path': 'full/23ee0690d51ffc8c8a03388d9fb9b8e9f40b7024.jpg', 'checksum': '8dc1ff12e93b62c69258907f28d034df'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw257cdf88/products/W107779/W107779_191024_NS_OF_2.jpg?sw=600&q=70', 'path': 'full/893c5867b2f30f66c91677389e9d264ef39a2fa8.jpg', 'checksum': '27c454616f172d9cef28bbf1c24a6c01'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwfb903301/products/W107779/W107779_191024_NS_OF_3.jpg?sw=600&q=70', 'path': 'full/192dbf5715880ffe437e85fb422b90faa28acd6b.jpg', 'checksum': '94e7dd89169c8ebbb0c578dd336fac09'}]",,,Flow Optical Top in Blue,,$165.00
Paloma Wool,"Fuzzy turtleneck sweater from Paloma Wool. Long sleeves. Dropped shoulders. Tapered cuff and hem. Contrasting stitch at collar. Slightly cropped. 
 
• Acrylic / Wool Knit
• 31% acrylic, 22% nylon, 18% wool
• Hand wash
• Made in Spain","https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw24761e36/products/W107777/W107777_191023_NS_OF_1.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwc137ed1f/products/W107777/W107777_191023_NS_OF_2.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwe1858f33/products/W107777/W107777_191023_NS_OF_3.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw4809f89e/products/W107777/W107777_191023_NS_OF_4.jpg?sw=600&q=70","[{'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw24761e36/products/W107777/W107777_191023_NS_OF_1.jpg?sw=600&q=70', 'path': 'full/6ab0009dac08e990a2b8363896565ad8ce86dfde.jpg', 'checksum': '876f2f0a85c1d9cee4af33630d8882b5'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwc137ed1f/products/W107777/W107777_191023_NS_OF_2.jpg?sw=600&q=70', 'path': 'full/ca97d5793f265090facd8e11f47d496e0c9b36bb.jpg', 'checksum': '544844856f4d227e62028c76d3c9a20c'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwe1858f33/products/W107777/W107777_191023_NS_OF_3.jpg?sw=600&q=70', 'path': 'full/c8cad12fdcb0265202e171795ead1184783f91a5.jpg', 'checksum': '52b06319195b77bf6590c6671cf6a9f9'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw4809f89e/products/W107777/W107777_191023_NS_OF_4.jpg?sw=600&q=70', 'path': 'full/f9eacd7a6ed99df2100fcda347a9e51fc384f24d.jpg', 'checksum': '5ee31a3ee46702f877c06835189c9d9f'}]",,,Himalaya Chunky Sweater in Maroon,,$139.00
Paloma Wool,"Chore coat from Paloma Wool. Light stretch fabric. Split collar. Angular shoulder seams. Horn button front closure. Front patch multipockets. Straight hem. Unlined. 

• Stretch Twill
• 97% cotton, 3% elastane
• Machine wash
• Made in Spain","https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw80515799/products/W107765/W107765_191023_NS_OF_1.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw6fdc287d/products/W107765/W107765_191023_NS_OF_2.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw6137f1e8/products/W107765/W107765_191023_NS_OF_3.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw0c547d32/products/W107765/W107765_191023_NS_OF_4.jpg?sw=600&q=70","[{'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw80515799/products/W107765/W107765_191023_NS_OF_1.jpg?sw=600&q=70', 'path': 'full/18ca03a248ffc3f35273e1dfbb303f58aee533d8.jpg', 'checksum': '80a40f2ad5cf25f71c30f56043bf978b'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw6fdc287d/products/W107765/W107765_191023_NS_OF_2.jpg?sw=600&q=70', 'path': 'full/005deaa0b6a080245679097716799e977a570ebe.jpg', 'checksum': '68b0ce533faf1c05fa2afae3f20fdf9d'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw6137f1e8/products/W107765/W107765_191023_NS_OF_3.jpg?sw=600&q=70', 'path': 'full/4dd014d7e8575110846db7dd999fddce6b380f74.jpg', 'checksum': '04e822eda7f4f44ec89a6c09c86f838a'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw0c547d32/products/W107765/W107765_191023_NS_OF_4.jpg?sw=600&q=70', 'path': 'full/00d3fee0fbd9193b250b91270ed83c4e27be2a6b.jpg', 'checksum': 'a227241b4d1aae4043416114a41e7e77'}]",,,Luca Jacket in Blue,,$199.00
Paloma Wool,"Signature high-waisted twill pant from Paloma Wool. Horn button fly. Front patch pockets; single button-through back pocket. Slim leg with gentle flare. 

• Stretch Twill
• 97% cotton, 3% elastane
• Machine wash
• Made in Spain","https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw6a77a62a/products/W107764/W107764_191023_NS_OF_1.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw1a96cf56/products/W107764/W107764_191023_NS_OF_2.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwc9552a08/products/W107764/W107764_191023_NS_OF_3.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw68a2dd33/products/W107764/W107764_191023_NS_OF_4.jpg?sw=600&q=70","[{'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw6a77a62a/products/W107764/W107764_191023_NS_OF_1.jpg?sw=600&q=70', 'path': 'full/b4697d921d2d976aee7b4d2e0d2ac710456c57a3.jpg', 'checksum': '0c4760195bd69b9a9782914ed9572949'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw1a96cf56/products/W107764/W107764_191023_NS_OF_2.jpg?sw=600&q=70', 'path': 'full/2620d24c91aa1cd05b622ac02d822796ee16147f.jpg', 'checksum': 'c7730b84610cfffc30738fe3e56837c8'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwc9552a08/products/W107764/W107764_191023_NS_OF_3.jpg?sw=600&q=70', 'path': 'full/55c43141eecda462a524edff3f025ddd2c900703.jpg', 'checksum': 'f01a84192eddc41acc82ca927ad92855'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw68a2dd33/products/W107764/W107764_191023_NS_OF_4.jpg?sw=600&q=70', 'path': 'full/473fc678433f96a41dc78e6a10eecbe3b766c514.jpg', 'checksum': '637f4d73b9e37bb3d39f026a7d3c9881'}]",,,Margherita Pant in White,,$159.00
Paloma Wool,"Button up shirt from Paloma Wool. Supersoft material with allover stylized illustrations. Petite collar. Shell button half placket. Narrow buttoned cuffs. Deep side slits. 

• Lyocell Poplin
• 100% lyocell
• Machine wash
• Made in Spain","https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw2c91020b/products/W107769/W107769_191023_NS_OF_1.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw57e5f23e/products/W107769/W107769_191023_NS_OF_2.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwb0dc0f4d/products/W107769/W107769_191023_NS_OF_3.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw4ba8c964/products/W107769/W107769_191023_NS_OF_4.jpg?sw=600&q=70","[{'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw2c91020b/products/W107769/W107769_191023_NS_OF_1.jpg?sw=600&q=70', 'path': 'full/8dd8fae9c97b8588aa8c46d312dd1f11aee9f059.jpg', 'checksum': '53069b3dfff61b42d377ab28eded8b19'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw57e5f23e/products/W107769/W107769_191023_NS_OF_2.jpg?sw=600&q=70', 'path': 'full/bb059ef634ca02c98cd372145f507b525b55ef84.jpg', 'checksum': '8695adc2b637841720d685e01913ebbc'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwb0dc0f4d/products/W107769/W107769_191023_NS_OF_3.jpg?sw=600&q=70', 'path': 'full/c7d9b6f9ac1045a41578332e3eaec3292066bb9b.jpg', 'checksum': '3a0e167682f0022cb3b3d0b59b8d2101'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw4ba8c964/products/W107769/W107769_191023_NS_OF_4.jpg?sw=600&q=70', 'path': 'full/3627b8df09ff9e904a19c9f7b3e1b8ea4974c178.jpg', 'checksum': 'fcd78cdf0e5b49e6f6a3f2ced1c8e14b'}]",,,Dragon Printed Button Up,,$135.00
Paloma Wool,"Wool blend dress from Paloma Wool. Soft, comfortable fabric with allover stylized illustrations. Surplice style bodice, three quarter sleeves and wraparound self-tie belt at waist. Deep side slits. Unlined. 

• Wool Blend Jersey
• 70% viscose, 30% wool
• Hand wash
• Made in Spain","https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw1b07a6e7/products/W107770/W107770_191004_NS_OF_1.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw87bcf979/products/W107770/W107770_191004_NS_OF_2.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwf1806f15/products/W107770/W107770_191004_NS_OF_3.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw553e2f6e/products/W107770/W107770_191004_NS_OF_4.jpg?sw=600&q=70","[{'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw1b07a6e7/products/W107770/W107770_191004_NS_OF_1.jpg?sw=600&q=70', 'path': 'full/efd2147eadce52acbc25e52f355a6164e1b844aa.jpg', 'checksum': '2a715174d093692859a7dbadaa17c376'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw87bcf979/products/W107770/W107770_191004_NS_OF_2.jpg?sw=600&q=70', 'path': 'full/c3f4baae9f26359772669d01ebc12de9dda42018.jpg', 'checksum': 'f53c5d2108536c8002e7e54093567bb8'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwf1806f15/products/W107770/W107770_191004_NS_OF_3.jpg?sw=600&q=70', 'path': 'full/3811b9fc89fb68b5b58e1aa32242bf6f2e66844d.jpg', 'checksum': 'e0244df0cfcfbce3fb8344662595194d'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw553e2f6e/products/W107770/W107770_191004_NS_OF_4.jpg?sw=600&q=70', 'path': 'full/a50552889a5a320922656a6d1c1396de8147279a.jpg', 'checksum': 'bfcd716d24958adc36bffa663b828ce1'}]",,,Cannavaro Printed Surplice Dress,,$175.00
Paloma Wool,"Bright top from Paloma Wool. Ultrasoft material. V neckline with polo collar. Long sleeves. Full-length seam down front Contoured waist. Straight hem. 

•Lyocell Jersey
• 96% lyocell, 4% elastane
• Machine wash
• Made in Portugal","https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw253fa654/products/W107771/W107771_191004_NS_OF_1.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw3c5d1618/products/W107771/W107771_191004_NS_OF_2.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwa94f4bab/products/W107771/W107771_191004_NS_OF_3.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwe5307737/products/W107771/W107771_191004_NS_OF_4.jpg?sw=600&q=70","[{'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw253fa654/products/W107771/W107771_191004_NS_OF_1.jpg?sw=600&q=70', 'path': 'full/1efcbd16009412bf822c13ac9db2652f448fa41e.jpg', 'checksum': 'be05911b6aad1b335e5c1e20900a1adc'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw3c5d1618/products/W107771/W107771_191004_NS_OF_2.jpg?sw=600&q=70', 'path': 'full/a3174c7bdfeda846baeb8d2c3c1d664c6c95b666.jpg', 'checksum': 'bdcb525bc310779c7f84c340b5b051e8'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwa94f4bab/products/W107771/W107771_191004_NS_OF_3.jpg?sw=600&q=70', 'path': 'full/7a6ca517506e41bf70845598f4cfd72f2375d4d0.jpg', 'checksum': '4e757e5285c22125bb4ae194469ef529'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwe5307737/products/W107771/W107771_191004_NS_OF_4.jpg?sw=600&q=70', 'path': 'full/e97c03d6b1873c8ad2f26a62720631c53c9fcc9e.jpg', 'checksum': '100fb02238e56d78c08005f874708899'}]",,,Long Sleeve Stretch Polo,,$79.00
Paloma Wool,"Slim long dress from Paloma Wool. Silky fabric with allover marbled dye print. Round neckline. Three quarter sleeves. Fitted through hem. Unlined. 

• Viscose Jersey
• 100% viscose
• Hand wash
• Made in Spain","https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw60fadfbb/products/W107772/W107772_191004_NS_OF_1.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw1369e8b7/products/W107772/W107772_191004_NS_OF_2.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwd2bf84b9/products/W107772/W107772_191004_NS_OF_3.jpg?sw=600&q=70,https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwc494bfdf/products/W107772/W107772_191004_NS_OF_4.jpg?sw=600&q=70","[{'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw60fadfbb/products/W107772/W107772_191004_NS_OF_1.jpg?sw=600&q=70', 'path': 'full/e2f5ac8d4fe628f7d8e6e72626d20d22b823b316.jpg', 'checksum': '7352f3578ecd3c1d775ca188dbfcc31f'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dw1369e8b7/products/W107772/W107772_191004_NS_OF_2.jpg?sw=600&q=70', 'path': 'full/59636866ebc92106dbe6b62f782631e70df0a660.jpg', 'checksum': '73fc431507c826b2d165df90864c0142'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwd2bf84b9/products/W107772/W107772_191004_NS_OF_3.jpg?sw=600&q=70', 'path': 'full/5afdd618cf3d7112b6a12c3b361f758a0115c0d3.jpg', 'checksum': '76e124a8c6ef08dd025a3a8183d35cc8'}, {'url': 'https://needsupply.com/dw/image/v2/BDJK_PRD/on/demandware.static/-/Sites-master/default/dwc494bfdf/products/W107772/W107772_191004_NS_OF_4.jpg?sw=600&q=70', 'path': 'full/9ebfddc7c4c6237b8e173e641bba7b6f34bd8496.jpg', 'checksum': '5dbb6e9fd7fba4f23ce14cb8cd1e21f7'}]",,,Guru Flame Dress,,$199.00
